Task,Start Date Time,Minutes On Task,,,,,,,,,
Tasks,1/17/2022 6:40,109.4,,,,,,,,,
Tasks,1/17/2022 10:36,14.07,,,,,,,,,
Support,1/17/2022 10:51,257.17,,,,,,,,,
Tasks,1/18/2022 6:55,108.98,,,,,,,,,
OLR,1/18/2022 8:44,280.05,,,,,,,,,
Support,1/18/2022 13:25,134.95,,,,,,,,,
Tasks,1/19/2022 6:59,124.38,,,,,,,,,
OLR,1/19/2022 9:03,66.35,,,,,,,,,
Projects,1/19/2022 10:09,204.2,,,,,,,,,
Tasks,1/20/2022 6:55,33.47,,,,,,,,,
Tasks,1/20/2022 10:09,52.2,,,,,,,,,
OLR,1/20/2022 11:01,23.17,,,,,,,,,
Support,1/20/2022 11:25,409.33,,,,,,,,,
Tasks,1/21/2022 6:59,19.68,,,,,,,Row Labels,Sum of Minutes On Task,
OLR,1/21/2022 7:19,111.87,,,,,,,OLR,481.44,8.024
Projects,1/21/2022 9:11,156.23,,,,,,,Projects,360.43,6.007166667
,,,,,,,,,Support,801.45,
,,,,,,,,,Tasks,462.18,
,,,,,,,,,Grand Total,2105.5,
